Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5,Average AQI
Jul-21,Yarra Ranges Shire,mooroolbark,21.87,71
Jun-21,Yarra Ranges Shire,mooroolbark,35.64,101
May-21,Yarra Ranges Shire,mooroolbark,36.77,104
Apr-21,Yarra Ranges Shire,mooroolbark,36.9,104
Mar-21,Yarra Ranges Shire,mooroolbark,28.58,85
Feb-21,Yarra Ranges Shire,mooroolbark,25.19,78
Jan-21,Yarra Ranges Shire,mooroolbark,34.42,98
Dec-20,Yarra Ranges Shire,mooroolbark,22.94,74
Nov-20,Yarra Ranges Shire,mooroolbark,25.7,80
Oct-20,Yarra Ranges Shire,mooroolbark,25.03,78
Sep-20,Yarra Ranges Shire,mooroolbark,26.37,81
Aug-20,Yarra Ranges Shire,mooroolbark,26.81,82
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
